source,title,authors,institution,text,ref
11: Proc Natl Acad Sci U S A  2002 Feb 5;99(3):1253-8 ,Probing protein conformational changes in living cells by using designer binding proteins: application to the estrogen receptor.,"Koide A, Abbatiello S, Rothgery L, Koide S.","Department of Biochemistry and Biophysics, University of Rochester School of Medicine and Dentistry, 601 Elmwood Avenue, Rochester, NY 14642, USA.","A challenge in understanding the mechanism of protein function in biology is to establish the correlation between functional form in the intracellular environment and high-resolution structures obtained with in vitro techniques. Here we present a strategy to probe conformational changes of proteins inside cells. Our method involves: (i) engineering binding proteins to different conformations of a target protein, and (ii) using them to sense changes in the surface property of the target in cells. We probed ligand-induced conformational changes of the estrogen receptor alpha (ER alpha) ligand-binding domain (LBD). By using yeast two-hybrid techniques, we first performed combinatorial library screening of ""monobodies"" (small antibody mimics using the scaffold of a fibronectin type III domain) for clones that bind to ER alpha and then characterized their interactions with ER alpha in the nucleus, the native environment of ER alpha, in the presence of various ligands. A library using a highly flexible loop yielded monobodies that specifically recognize a particular ligand complex of ER alpha, and the pattern of monobody specificity was consistent with the structural differences found in known crystal structures of ER alpha-LBD. A more restrained loop library yielded clones that bind both agonist- and antagonist-bound ER alpha. Furthermore, we found that a deletion of the ER alpha F domain that is C-terminally adjacent to the LBD increased the crossreactivity of monobodies to the apo-ER alpha-LBD, suggesting a dynamic nature of the ER alpha-LBD conformation and a role of the F domain in restraining the LBD in an inactive conformation.",PMID: 11818562 [PubMed - indexed for MEDLINE]
12: J Mol Biol  2002 Jan 25;315(4):809-18 ,Protein-protein interactions of hCsl4p with other human exosome subunits.,"Raijmakers R, Noordman YE, van Venrooij WJ, Pruijn GJ.","Department of Biochemistry, University of Nijmegen, Nijmegen, The Netherlands.","The exosome is a complex of 3'-->5' exoribonucleases, which functions in a variety of cellular processes, all requiring the processing or degradation of RNA. We demonstrate that the two human proteins hCsl4p and hRrp42p, which have been identified on the basis of their sequence homology with Saccharomyces cerevisiae proteins, are associated with the human exosome. By mammalian two-hybrid and GST pull-down assays, we show that the hCsl4p protein interacts directly with two other exosome proteins, hRrp42p and hRrp46p. Mutants of hCsl4p that fail to interact with either hRrp42p or hRrp46p are also not able to associate with exosome complexes in vivo. These results indicate that the association of hCsl4p with the exosome is mediated by protein-protein interactions with hRrp42p and hRrp46p. Copyright 2002 Academic Press.",PMID: 11812149 [PubMed - indexed for MEDLINE]
13: Nature  2002 Jan 10;415(6868):180-3 ,Comment in:  Nature. 2002 Jan 10;415(6868):123-4.,Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry.,"Ho Y, Gruhler A, Heilbut A, Bader GD, Moore L, Adams SL, Millar A, Taylor P, Bennett K, Boutilier K, Yang L, Wolting C, Donaldson I, Schandorff S, Shewnarane J, Vo M, Taggart J, Goudreault M, Muskat B, Alfarano C, Dewar D, Lin Z, Michalickova K, Willems AR, Sassi H, Nielsen PA, Rasmussen KJ, Andersen JR, Johansen LE, Hansen LH, Jespersen H, Podtelejnikov A, Nielsen E, Crawford J, Poulsen V, Sorensen BD, Matthiesen J, Hendrickson RC, Gleeson F, Pawson T, Moran MF, Durocher D, Mann M, Hogue CW, Figeys D, Tyers M.","MDS Proteomics, 251 Attwell Drive, Toronto, Canada M9W 7H4, and Staermosegaardsvej 6, DK-5230 Odense M, Denmark.","The recent abundance of genome sequence data has brought an urgent need for systematic proteomics to decipher the encoded protein networks that dictate cellular function. To date, generation of large-scale protein-protein interaction maps has relied on the yeast two-hybrid system, which detects binary interactions through activation of reporter gene expression. With the advent of ultrasensitive mass spectrometric protein identification methods, it is feasible to identify directly protein complexes on a proteome-wide scale. Here we report, using the budding yeast Saccharomyces cerevisiae as a test case, an example of this approach, which we term high-throughput mass spectrometric protein complex identification (HMS-PCI). Beginning with 10% of predicted yeast proteins as baits, we detected 3,617 associated proteins covering 25% of the yeast proteome. Numerous protein complexes were identified, including many new interactions in various signalling pathways and in the DNA damage response. Comparison of the HMS-PCI data set with interactions reported in the literature revealed an average threefold higher success rate in detection of known complexes compared with large-scale two-hybrid studies. Given the high degree of connectivity observed in this study, even partial HMS-PCI coverage of complex proteomes, including that of humans, should allow comprehensive identification of cellular networks."
,14: Nature  2002 Jan 10;415(6868):141-7 ,Comment in:  Nature. 2002 Jan 10;415(6868):123-4.,Functional organization of the yeast proteome by systematic analysis of protein complexes.,"Gavin AC, Bosche M, Krause R, Grandi P, Marzioch M, Bauer A, Schultz J, Rick JM, Michon AM, Cruciat CM, Remor M, Hofert C, Schelder M, Brajenovic M, Ruffner H, Merino A, Klein K, Hudak M, Dickson D, Rudi T, Gnau V, Bauch A, Bastuck S, Huhse B, Leutwein C, Heurtier MA, Copley RR, Edelmann A, Querfurth E, Rybin V, Drewes G, Raida M, Bouwmeester T, Bork P, Seraphin B, Kuster B, Neubauer G, Superti-Furga G.","Cellzome AG, Meyerhofstrasse 1, 69117 Heidelberg, Germany. anne-claude.gavin@cellzome.com"
,,15: Mol Cell  2002 Jan;9(1):31-44 ,Comment in:  Mol Cell. 2002 Jan;9(1):8-9.,Composition and functional characterization of the yeast spliceosomal penta-snRNP.,"Stevens SW, Ryan DE, Ge HY, Moore RE, Young MK, Lee TD, Abelson J."
PMID: 11804584 [PubMed - indexed for MEDLINE],,,16: J Cell Sci  2002 Jan 1;115(Pt 1):195-206 ,Essential functions of Sds22p in chromosome stability and nuclear localization of PP1.,"Peggie MW, MacKelvie SH, Bloecher A, Knatko EV, Tatchell K, Stark MJ."
PMID: 11801737 [PubMed - in process],,,17: Genome Inform Ser Workshop Genome Inform  2001;12:123-34 ,The potential use of SUISEKI as a protein interaction discovery tool.,"Blaschke C, Valencia A."
PMID: 11791231 [PubMed - in process],,,18: Biochem Biophys Res Commun  2002 Jan 18;290(2):676-81 ,Saccharomyces cerevisiae Pra1p/Yip3p interacts with Yip1p and Rab proteins.,"Calero M, Collins RN."
PMID: 11785952 [PubMed - indexed for MEDLINE],,,19: Plant Mol Biol  2001 Dec;47(6):771-83 ,Identification of a S-ribonuclease-binding protein in Petunia hybrida.,"Sims TL, Ordanic M."
PMID: 11785938 [PubMed - indexed for MEDLINE],,,20: Mol Cell Biol  2002 Feb;22(3):927-34 ,"The Sur7p family defines novel cortical domains in Saccharomyces cerevisiae, affects sphingolipid metabolism, and is involved in sporulation.","Young ME, Karpova TS, Brugger B, Moschenross DM, Wang GK, Schneiter R, Wieland FT, Cooper JA."
PMID: 11784867 [PubMed - indexed for MEDLINE],,,21: Mol Cell Biol  2002 Feb;22(3):693-703 ,Histone-dependent association of Tup1-Ssn6 with repressed genes in vivo.,"Davie JK, Trumbly RJ, Dent SY."
PMID: 11784848 [PubMed - indexed for MEDLINE],,,22: RNA  2001 Dec;7(12):1693-701 ,A genome-wide survey of RS domain proteins.,"Boucher L, Ouzounis CA, Enright AJ, Blencowe BJ."
PMID: 11780626 [PubMed - indexed for MEDLINE],,,23: Genetics  2001 Dec;159(4):1539-45 ,(CA/TG) microsatellite sequences escape the inhibition of recombination by mismatch repair in Saccharomyces cerevisiae.,"Gendrel CG, Dutreix M."
PMID: 11779795 [PubMed - indexed for MEDLINE],,,24: Genetics  2001 Dec;159(4):1435-48 ,Overactivation of the protein kinase C-signaling pathway suppresses the defects of cells lacking the Rho3/Rho4-GAP Rgd1p in Saccharomyces cerevisiae.,"de Bettignies G, Thoraval D, Morel C, Peypouquet MF, Crouzet M."
PMID: 11779787 [PubMed - indexed for MEDLINE],,,25: Invest Ophthalmol Vis Sci  2002 Jan;43(1):176-82 ,Protein interactions with myocilin.,"Wentz-Hunter K, Ueda J, Yue BY."
PMID: 11773029 [PubMed - indexed for MEDLINE],,,26: Biochem J  2002 Jan 15;361(Pt 2):243-54 ,Phosphorylation states of Cdc42 and RhoA regulate their interactions with Rho GDP dissociation inhibitor and their extraction from biological membranes.,"Forget MA, Desrosiers RR, Gingras D, Beliveau R."
PMID: 11772396 [PubMed - indexed for MEDLINE],,,27: J Biol Chem  2002 Feb 8;277(6):3813-22 ,"Active site mutations in DNA topoisomerase I distinguish the cytotoxic activities of camptothecin and the indolocarbazole, rebeccamycin.","Woo MH, Vance JR, Marcos AR, Bailly C, Bjornsti MA."
PMID: 11733535 [PubMed - indexed for MEDLINE],,,28: Biochemistry  2001 Dec 25;40(51):15562-9 ,Identification of yeast cofilin residues specific for actin monomer and PIP2 binding.,"Ojala PJ, Paavilainen V, Lappalainen P."
PMID: 11747431 [PubMed - indexed for MEDLINE],,,29: Biochem J  2002 Jan 1;361(Pt 1):27-34 ,Direct interactions between molecular chaperones heat-shock protein (Hsp) 70 and Hsp40: yeast Hsp70 Ssa1 binds the extreme C-terminal region of yeast Hsp40 Sis1.,"Qian X, Hou W, Zhengang L, Sha B."
PMID: 11743879 [PubMed - indexed for MEDLINE],,,30: Chem Res Toxicol  2001 Dec;14(12):1584-9 ,Mechanisms of nitrogen oxide-mediated disruption of metalloprotein function: an examination of the copper-responsive yeast transcription factor Ace1.,"Shinyashiki M, Pan CJ, Switzer CH, Fukuto JM."
PMID: 11743740 [PubMed - indexed for MEDLINE],,,31: J Mol Biol  2001 Dec 14;314(5):1053-66 ,"Beyond synexpression relationships: local clustering of time-shifted and inverted gene expression profiles identifies new, biologically relevant interactions.","Qian J, Dolled-Filhart M, Lin J, Yu H, Gerstein M."
PMID: 11743722 [PubMed - indexed for MEDLINE],,,32: Science  2001 Dec 14;294(5550):2364-8 ,Systematic genetic analysis with ordered arrays of yeast deletion mutants.,"Tong AH, Evangelista M, Parsons AB, Xu H, Bader GD, Page N, Robinson M, Raghibizadeh S, Hogue CW, Bussey H, Andrews B, Tyers M, Boone C."
PMID: 11743205 [PubMed - indexed for MEDLINE],,,33: Science  2002 Jan 11;295(5553):321-4 ,Comment in:  Science. 2002 Jan 11;295(5553):284-7.,A combined experimental and computational strategy to define protein interaction networks for peptide recognition modules.
"Peptide recognition modules mediate many protein-protein interactions critical for the assembly of macromolecular complexes. Complete genome sequences have revealed thousands of these domains, requiring improved methods for identifying their physiologically relevant binding partners. We have developed a strategy combining computational prediction of interactions from phage-display ligand consensus sequences with large-scale two-hybrid physical interaction tests. Application to yeast SH3 domains generated a phage-display network containing 394 interactions among 206 proteins and a two-hybrid network containing 233 interactions among 145 proteins. Graph theoretic analysis identified 59 highly likely interactions common to both networks. Las17 (Bee1), a member of the Wiskott-Aldrich Syndrome protein (WASP) family of actin-assembly proteins, showed multiple SH3 interactions, many of which were confirmed in vivo by coimmunoprecipitation.",PMID: 11743162 [PubMed - indexed for MEDLINE],,,34: EMBO J  2001 Dec 17;20(24):7096-107 ,Subunit interaction maps for the regulatory particle of the 26S proteasome and the COP9 signalosome.
"The 26S proteasome plays a major role in eukaryotic protein breakdown, especially for ubiquitin-tagged proteins. Substrate specificity is conferred by the regulatory particle (RP), which can dissociate into stable lid and base subcomplexes. To help define the molecular organization of the RP, we tested all possible paired interactions among subunits from Saccharomyces cerevisiae by yeast two-hybrid analysis. Within the base, a Rpt4/5/3/6 interaction cluster was evident. Within the lid, a structural cluster formed around Rpn5/11/9/8. Interactions were detected among synonymous subunits (Csn4/5/7/6) from the evolutionarily related COP9 signalosome (CSN) from Arabidopsis, implying a similar quaternary arrangement. No paired interactions were detected between lid, base or core particle subcomplexes, suggesting that stable contacts between them require prior assembly. Mutational analysis defined the ATPase, coiled-coil, PCI and MPN domains as important for RP assembly. A single residue in the vWA domain of Rpn10 is essential for amino acid analog resistance, for degrading a ubiquitin fusion degradation substrate and for stabilizing lid-base association. Comprehensive subunit interaction maps for the 26S proteasome and CSN support the ancestral relationship of these two complexes.",PMID: 11742986 [PubMed - indexed for MEDLINE],,,35: Mol Cell  2001 Nov;8(5):1075-83 ,Targeting an mRNA for decapping: displacement of translation factors and association of the Lsm1p-7p complex on deadenylated yeast mRNAs.
"The major pathway of eukaryotic mRNA decay involves deadenylation-dependent decapping followed by 5' to 3' exonucleolytic degradation. By examining interactions among mRNA decay factors, the mRNA, and key translation factors, we have identified a critical transition in mRNP organization that leads to decapping and degradation of yeast mRNAs. This transition occurs after deadenylation and includes loss of Pab1p, eIF4E, and eIF4G from the mRNA and association of the decapping activator complex, Lsm1p-7p, which enhances the coimmunoprecipitation of a decapping enzyme complex (Dcp1p and Dcp2p) with the mRNA. These results define an important rearrangement in mRNP organization and suggest that deadenylation promotes mRNA decapping by both the loss of Pab1p and the recruitment of the Lsm1p-7p complex.",PMID: 11741542 [PubMed - indexed for MEDLINE],,,36: Genome Res  2001 Dec;11(12):1971-3 ,Is there a bias in proteome research?
"Advances in technology have enabled us to take a fresh look at data acquired by traditional single experiments and to compare them with genomewide data. The differences can be tremendous, as we show here, in the field of proteomics. We have compared data sets of protein-protein interactions in Saccharomyces cerevisiae that were detected by an identical underlying technical method, the yeast two-hybrid system. We found that the individually identified protein-protein interactions are considerably different from those identified by two genomewide scans. Interacting proteins in the pooled database from single publications are much more closely related to each other with respect to transcription profiles when compared to genomewide data. This difference may have been introduced by two factors: by a selection process in individual publications and by false positives in the whole-genome scans. If we assume that the differences are a result of false positives in the whole-genome data, the scans would contain 47%, 44%, and 91% of false positives for the UETZ, ITO-core, and ITO-full data, respectively. If, however, the true fraction of false positives is considerably lower than estimated here, the data from hypothesis-driven experiments must have been subjected to a serious selection process.",PMID: 11731485 [PubMed - indexed for MEDLINE],,,"37: Microbiol Mol Biol Rev  2001 Dec;65(4):570-94, table of contents ",Transport into and out of the nucleus.
